DATE,PM2.5,PM10,CO2,HCHO,TEMPERATURE,HUMIDITY
2023/8/17 12:52,1.6,2,821,0.014,79.8,56.4
2023/8/17 12:53,1.5,2.2,821,0.014,79.8,56.4
2023/8/17 12:54,1.8,2.4,821,0.015,79.8,56.3
2023/8/17 12:55,1.4,1.6,821,0.015,79.8,56.3
2023/8/17 12:56,1.5,2.1,821,0.014,79.8,56.3
2023/8/17 12:57,1.4,1.9,821,0.014,79.8,56.2
2023/8/17 12:58,1.5,1.7,820,0.015,79.9,56.2
2023/8/17 12:59,1.4,1.8,819,0.014,79.9,56.2
2023/8/17 13:00,1.4,1.8,816,0.014,79.9,56.1
2023/8/17 13:01,1.2,1.6,815,0.014,79.9,56
2023/8/17 13:02,0.9,1.1,815,0.014,80,56.1
2023/8/17 13:03,1.3,1.7,812,0.014,80,56
2023/8/17 13:04,1.1,1.2,809,0.014,80,56
2023/8/17 13:05,1.2,1.8,809,0.014,79.9,56.1
2023/8/17 13:06,1.4,2,815,0.015,80,56.1
2023/8/17 13:07,1.3,1.8,814,0.015,79.9,56.2
2023/8/17 13:08,1.4,1.7,814,0.014,79.9,56.1
2023/8/17 13:09,3.2,3.7,817,0.014,80,56.1
2023/8/17 13:10,3.5,3.6,819,0.015,80,56.2
2023/8/17 13:11,4.2,4.5,825,0.014,80,56.2
2023/8/17 13:12,4.4,5.3,824,0.014,80,56.1
2023/8/17 13:13,4,4.7,798,0.013,80,56
2023/8/17 13:14,3.3,3.8,781,0.013,80,55.9
2023/8/17 13:15,3.2,4.5,766,0.012,79.9,55.8
2023/8/17 13:16,3.4,4.4,744,0.011,80,55.6
2023/8/17 13:17,2.4,3.1,740,0.012,80,55.4
2023/8/17 13:18,2.8,3.1,719,0.011,80,55.4
2023/8/17 13:19,2.2,2.6,733,0.013,80,55.6
2023/8/17 13:20,2.4,3,749,0.013,80,55.7
2023/8/17 13:21,2.4,3,757,0.013,80,55.6
2023/8/17 13:22,2.4,2.7,747,0.012,80,55.5
2023/8/17 13:23,2.4,3.1,725,0.011,80,55.4
2023/8/17 13:24,2,2.4,709,0.011,80,55.4
2023/8/17 13:25,2.4,3.6,714,0.012,80,55.4
2023/8/17 13:26,2.1,2.8,718,0.012,80.1,55.5
2023/8/17 13:27,2,2.4,732,0.012,80.1,55.6
2023/8/17 13:28,2.3,3.3,720,0.011,80.1,55.4
2023/8/17 13:29,2.3,3.1,702,0.011,80,55.4
2023/8/17 13:30,1.8,2.1,693,0.011,80,55.4
2023/8/17 13:31,1.9,2.8,690,0.011,80.1,55.4
2023/8/17 13:32,1.9,2.3,690,0.011,80.1,55.5
2023/8/17 13:33,1.8,2.7,699,0.011,80.1,55.4
2023/8/17 13:34,1.8,2.1,696,0.011,80.1,55.4
2023/8/17 13:35,2,2.9,686,0.01,80.2,55.2
2023/8/17 13:36,1.8,2.4,687,0.01,80.1,55.3
2023/8/17 13:37,1.4,1.7,695,0.011,80.2,55.3
2023/8/17 13:38,1.6,2.2,696,0.011,80.2,55.2
2023/8/17 13:39,1.6,2.1,688,0.01,80.2,55.1
2023/8/17 13:40,1.7,2.4,677,0.009,80.2,55
2023/8/17 13:41,1.7,2.1,672,0.009,80.3,54.9
2023/8/17 13:42,1.5,2.2,660,0.009,80.3,55
2023/8/17 13:43,1.6,2.2,673,0.01,80.3,55
2023/8/17 13:44,1.1,1.5,676,0.01,80.3,55
2023/8/17 13:45,1.7,2.5,664,0.008,80.3,54.8
2023/8/17 13:46,1.4,1.9,656,0.009,80.3,54.9
2023/8/17 13:47,1.7,2.2,663,0.01,80.3,54.8
2023/8/17 13:48,1.6,2.1,658,0.009,80.3,54.9
2023/8/17 13:49,1.2,1.5,664,0.009,80.3,54.9
2023/8/17 13:50,1.5,1.9,664,0.009,80.3,54.9
2023/8/17 13:51,1.7,2.5,678,0.01,80.3,55
2023/8/17 13:52,1.5,1.9,686,0.009,80.3,55
2023/8/17 13:53,1.6,2.5,683,0.009,80.3,54.9
2023/8/17 13:54,1.6,2.3,682,0.009,80.3,54.9
2023/8/17 13:55,1.7,2.3,680,0.009,80.3,54.8
2023/8/17 13:56,1.4,1.9,679,0.009,80.3,54.8
2023/8/17 13:57,1.5,2.2,681,0.009,80.3,54.8
2023/8/17 13:58,1.5,2.1,674,0.009,80.3,54.8
2023/8/17 13:59,1.6,2.6,672,0.009,80.4,54.8
2023/8/17 14:00,1.6,2.3,676,0.009,80.3,54.9
2023/8/17 14:01,1.7,2.3,686,0.009,80.3,55
2023/8/17 14:02,1.5,2.3,688,0.009,80.3,55
2023/8/17 14:03,1.4,2,692,0.009,80.3,55
2023/8/17 14:04,1.7,2.8,696,0.01,80.4,55
2023/8/17 14:05,1.4,1.9,703,0.01,80.4,55.1
2023/8/17 14:06,1.6,2.3,704,0.009,80.4,55
2023/8/17 14:07,1.6,2.4,688,0.009,80.4,54.8
2023/8/17 14:08,1.3,1.9,679,0.008,80.4,54.7
2023/8/17 14:09,1.4,2.1,670,0.008,80.4,54.7
2023/8/17 14:10,1.4,2.3,662,0.009,80.3,54.9
2023/8/17 14:11,1.5,1.9,664,0.009,80.4,54.8
2023/8/17 14:12,1.6,2.3,648,0.008,80.4,54.6
2023/8/17 14:13,2.1,2.7,644,0.008,80.3,54.7
2023/8/17 14:14,1.3,1.7,646,0.008,80.3,54.6
2023/8/17 14:15,1.7,2.5,634,0.008,80.3,54.6
2023/8/17 14:16,1.6,2,637,0.008,80.3,54.6
2023/8/17 14:17,1.8,2.6,633,0.008,80.4,54.5
2023/8/17 14:18,1.7,2.5,625,0.009,80.4,54.6
2023/8/17 14:19,1.6,2.4,625,0.009,80.5,54.6
2023/8/17 14:20,1.7,2.6,625,0.009,80.5,54.5
2023/8/17 14:21,1.4,2,619,0.008,80.5,54.5
2023/8/17 14:22,1.3,1.9,609,0.007,80.4,54.5
2023/8/17 14:23,1.7,2.4,609,0.009,80.5,54.5
2023/8/17 14:24,1.8,2.1,606,0.008,80.4,54.5
2023/8/17 14:25,1.6,2.3,596,0.007,80.4,54.4
2023/8/17 14:26,1.4,1.7,594,0.008,80.4,54.4
2023/8/17 14:27,1.5,2.1,592,0.008,80.4,54.4
2023/8/17 14:28,1.4,2,597,0.008,80.4,54.4
2023/8/17 14:29,1.7,2.5,595,0.007,80.3,54.4
2023/8/17 14:30,1.4,2,592,0.008,80.4,54.4
2023/8/17 14:31,1.2,1.5,590,0.007,80.5,54.3
2023/8/17 14:32,1.4,1.8,590,0.008,80.4,54.1
2023/8/17 14:33,1.4,1.9,590,0.007,80.4,54.2
2023/8/17 14:34,1.2,1.7,585,0.007,80.4,54.1
2023/8/17 14:35,1.2,1.6,584,0.007,80.4,54.2
2023/8/17 14:36,1.1,1.6,579,0.007,80.5,54.1
2023/8/17 14:37,1.2,1.5,578,0.007,80.5,53.9
2023/8/17 14:38,1.7,2.3,576,0.007,80.5,54
2023/8/17 14:39,1.3,1.9,576,0.008,80.6,54
2023/8/17 14:40,1.2,1.5,569,0.007,80.6,53.7
2023/8/17 14:41,1.5,2.1,557,0.006,80.6,53.6
2023/8/17 14:42,1.3,1.9,554,0.006,80.5,53.6
2023/8/17 14:43,1,1.6,546,0.006,80.5,53.6
2023/8/17 14:44,1.5,2.2,549,0.007,80.5,53.6
2023/8/17 14:45,1.6,2.4,549,0.007,80.5,53.5
2023/8/17 14:46,1.6,2.4,549,0.007,80.6,53.5
2023/8/17 14:47,1.5,2.2,551,0.007,80.6,53.6
2023/8/17 14:48,1.5,1.8,550,0.007,80.6,53.5
2023/8/17 14:49,1.1,1.6,548,0.007,80.6,53.4
2023/8/17 14:50,1.3,1.7,536,0.006,80.5,53.4
2023/8/17 14:51,1.1,1.4,536,0.007,80.7,53.5
2023/8/17 14:52,1.2,1.8,545,0.007,80.7,53.4
2023/8/17 14:53,1.7,2.7,544,0.007,80.6,53.6
2023/8/17 14:54,1.3,1.8,540,0.007,80.6,53.6
2023/8/17 14:55,1.2,1.8,534,0.006,80.6,53.5
2023/8/17 14:56,1,1.3,536,0.006,80.7,53.5
2023/8/17 14:57,1.3,1.8,540,0.007,80.7,53.4
2023/8/17 14:58,1.1,1.4,541,0.007,80.7,53.4
2023/8/17 14:59,1.2,1.5,536,0.006,80.7,53.4
2023/8/17 15:00,1.4,2.1,539,0.007,80.8,53.4

